City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Galveston,US,2022-06-30 04:41:09,29.3669,-94.9669,84.16,79,0,10.36
250,Saint George,US,2022-06-30 04:44:20,37.1041,-113.5841,88.43,31,0,26.46
251,Kavaratti,IN,2022-06-30 04:44:21,10.5669,72.642,82.13,79,100,21.47
252,Muscat,OM,2022-06-30 04:43:48,23.6139,58.5922,96.82,60,75,6.13
253,Hami,CN,2022-06-30 04:44:21,42.8,93.45,95.7,10,30,9.86
254,Port Shepstone,ZA,2022-06-30 04:44:22,-30.7414,30.455,57.74,44,0,7.58
255,Antofagasta,CL,2022-06-30 04:44:22,-23.65,-70.4,58.28,92,42,2.01
256,Miyako,JP,2022-06-30 04:44:22,39.6367,141.9525,75.29,81,91,4.68
257,Kusti,SD,2022-06-30 04:44:23,13.1629,32.6635,80.56,63,88,12.26
258,Haines Junction,CA,2022-06-30 04:44:23,60.7522,-137.5108,73.35,43,12,1.14
259,Broome,US,2022-06-30 04:44:23,42.2506,-75.833,61.63,78,23,1.92
260,Coihaique,CL,2022-06-30 04:44:24,-45.5752,-72.0662,33.75,93,40,5.75
261,Olafsvik,IS,2022-06-30 04:44:24,64.8945,-23.7142,50.52,85,53,7.81
262,Amazar,RU,2022-06-30 04:44:24,53.858,120.875,91.04,29,11,5.75
263,Atambua,ID,2022-06-30 04:44:25,-9.1061,124.8925,74.84,88,86,2.48
264,Alugan,PH,2022-06-30 04:44:25,12.2188,125.4808,86.36,69,99,13.04
265,Bara,NG,2022-06-30 04:39:32,10.3744,10.7288,72.99,93,48,7.83
266,Cayenne,GF,2022-06-30 04:44:26,4.9333,-52.3333,74.08,1,100,0.0
267,Saint-Pierre,RE,2022-06-30 04:44:26,-21.3393,55.4781,67.68,60,75,4.61
268,Kavieng,PG,2022-06-30 04:44:26,-2.5744,150.7967,83.08,71,100,4.54
269,Senador Jose Porfirio,BR,2022-06-30 04:44:27,-2.5908,-51.9542,73.58,94,94,2.37
270,Kloulklubed,PW,2022-06-30 04:44:27,7.0419,134.2556,84.7,72,83,13.38
271,Quang Ngai,VN,2022-06-30 04:44:27,15.1167,108.8,96.55,42,49,7.45
272,Roebourne,AU,2022-06-30 04:44:28,-20.7833,117.1333,74.64,28,0,24.23
273,Norman Wells,CA,2022-06-30 04:44:28,65.282,-126.8329,62.64,88,75,5.75
274,Cervo,ES,2022-06-30 04:44:28,43.6702,-7.4101,57.96,76,46,9.15
275,Orange Park,US,2022-06-30 04:40:03,30.1661,-81.7065,82.38,83,75,3.44
276,Praia,CV,2022-06-30 04:44:30,14.9215,-23.5087,73.94,73,75,11.5
277,Puerto Madryn,AR,2022-06-30 04:40:54,-42.7692,-65.0385,41.13,59,0,16.67
278,Cidreira,BR,2022-06-30 04:44:30,-30.1811,-50.2056,51.37,85,69,10.71
279,Horta,PT,2022-06-30 04:44:31,38.5333,-28.6333,65.14,85,20,5.19
280,Luganville,VU,2022-06-30 04:44:31,-15.5333,167.1667,79.7,82,47,15.55
281,Shizunai,JP,2022-06-30 04:44:32,42.3339,142.3669,61.12,97,100,1.52
282,Anloga,GH,2022-06-30 04:44:32,5.7947,0.8973,76.23,91,100,16.62
283,Tilichiki,RU,2022-06-30 04:44:32,60.4667,166.1,49.78,86,100,8.68
284,Encheng,CN,2022-06-30 04:44:33,22.1839,112.3026,93.96,57,100,12.62
285,Haverfordwest,GB,2022-06-30 04:44:33,51.8017,-4.9691,51.39,88,79,4.97
286,Gravdal,NO,2022-06-30 04:44:34,68.1214,13.5031,51.69,100,75,11.5
287,Cherskiy,RU,2022-06-30 04:44:34,68.75,161.3,56.03,42,91,8.61
288,Sinnai,IT,2022-06-30 04:44:34,39.3042,9.2036,71.47,59,0,2.3
289,Hervey Bay,AU,2022-06-30 04:44:35,-25.2986,152.8535,66.65,80,99,13.15
290,Kamenka,RU,2022-06-30 04:44:35,51.3223,42.7678,62.62,62,0,4.65
291,Teresopolis,BR,2022-06-30 04:40:11,-22.4122,-42.9656,54.37,93,6,1.45
292,Poso,ID,2022-06-30 04:44:36,-1.3959,120.7524,82.44,79,81,7.7
293,Manado,ID,2022-06-30 04:44:36,1.487,124.8455,88.57,66,40,5.75
