City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Kitob,UZ,39.0843,66.8332,77.77,28,0,8.55,clear sky
237,Capreol,CA,46.706,-80.9225,69.55,77,100,18.41,overcast clouds
238,Kalabo,ZM,-14.97,22.6814,57.69,52,70,4.68,broken clouds
239,Tairua,NZ,-37.0167,175.85,58.24,81,60,9.89,broken clouds
240,Dhidhdhoo,MV,6.8833,73.1,82.33,76,100,20.38,light rain
241,Boende,CD,-0.2167,20.8667,72.79,83,48,1.99,scattered clouds
242,Nurota,UZ,40.5614,65.6886,76.8,18,0,9.37,clear sky
243,Riverton,US,40.5219,-111.9391,93.7,31,75,5.75,light rain
244,Cockburn Town,TC,21.4612,-71.1419,85.96,62,40,18.41,scattered clouds
245,Paamiut,GL,61.994,-49.6678,41.16,83,98,14.88,overcast clouds
246,Zhigansk,RU,66.7697,123.3711,54.68,81,46,9.75,scattered clouds
247,Labuhan,ID,-6.8844,112.2051,74.97,89,78,8.59,broken clouds
248,Iqaluit,CA,63.7506,-68.5145,46.13,81,100,3.44,overcast clouds
249,Provideniya,RU,64.3833,-173.3,53.71,82,100,8.99,overcast clouds
250,Zagare,LT,56.3592,23.25,68.43,95,91,6.71,overcast clouds
251,Brae,GB,60.3964,-1.353,54.91,95,95,6.87,overcast clouds
252,Morwell,AU,-38.2333,146.4,42.4,86,100,0.98,overcast clouds
253,Port Blair,IN,11.6667,92.75,80.64,89,40,2.3,mist
254,Chapais,CA,49.7834,-74.8492,67.78,44,100,14.0,overcast clouds
255,Oussouye,SN,12.485,-16.5469,84.38,78,11,7.45,few clouds
256,Tombouctou,ML,20.0,-3.0,97.47,15,4,18.66,clear sky
257,Kampot,KH,10.6167,104.1833,78.85,83,100,8.12,overcast clouds
258,Sitka,US,57.0531,-135.33,60.69,63,75,8.05,broken clouds
259,Severo-Yeniseyskiy,RU,60.3725,93.0408,52.65,95,1,3.27,clear sky
260,Casa Nova,BR,-9.4167,-41.1333,80.69,41,9,11.52,clear sky
261,Flinders,AU,-34.5833,150.8552,52.18,85,100,1.99,light rain
262,Yining,CN,29.0361,114.5636,75.4,96,15,2.06,few clouds
263,Twin Falls,US,42.3505,-114.6445,82.92,16,35,8.77,scattered clouds
264,Dabhol,IN,17.6,73.1667,77.74,90,100,7.87,moderate rain
265,Kamenka,RU,51.3223,42.7678,54.93,77,6,6.55,clear sky
266,Aksu,CN,41.1231,80.2644,80.1,30,26,3.24,scattered clouds
267,Beringovskiy,RU,63.05,179.3167,43.38,98,100,8.9,light rain
268,Pontalina,BR,-17.525,-49.4472,71.78,35,96,3.89,overcast clouds
269,Silopi,TR,37.2497,42.4694,84.11,15,0,5.88,clear sky
270,Cavalcante,BR,-13.7975,-47.4583,68.34,37,35,4.29,scattered clouds
271,Kiunga,PG,-6.1219,141.2906,74.62,96,35,0.51,scattered clouds
272,San Quintin,MX,30.4833,-115.95,74.5,64,1,15.21,clear sky
273,Novyy Urengoy,RU,66.0833,76.6333,50.94,68,0,18.88,clear sky
274,Clyde River,CA,70.4692,-68.5914,39.43,70,0,12.66,clear sky
275,Carroll,US,39.5501,-77.0164,90.91,39,0,3.0,clear sky
276,Puerto Escondido,MX,15.85,-97.0667,86.38,68,98,5.7,overcast clouds
277,Edeia,BR,-17.3383,-49.9314,73.11,35,85,3.33,overcast clouds
278,Deputatskiy,RU,69.3,139.9,49.5,66,99,2.62,overcast clouds
279,Biak,ID,-0.9131,122.8766,75.16,87,17,1.01,few clouds
280,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,5.75,light rain
281,Yaan,NG,7.3833,8.5667,74.26,89,99,9.71,overcast clouds
